url,resource_name,rejected_from,rejected_date,reason
https://paperswithcode.com/benchmark/arc,Papers with Code: ARC Leaderboard,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://paperswithcode.com/benchmark/superglue,Papers with Code: SUPERGLUE Leaderboard,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://paperswithcode.com/benchmark/glue,Papers with Code: GLUE Leaderboard,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2606.16206v1,ArXiv: Measuring Whether LLM Tutors Teach or Solve: A Diagnostic for Educational Impact,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2607.01245v1,ArXiv: Office Comprehension Benchmark,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2605.01771v1,ArXiv: The Compliance Gap: Why AI Systems Promise to Follow Process Instructions but Do,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2508.14201v1,ArXiv: Breakable Machine: A K-12 Classroom Game for Transformative AI Literacy Through ,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2507.19362v1,ArXiv: LOTUS: A Leaderboard for Detailed Image Captioning from Quality to Societal Bias,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2506.07962v1,ArXiv: Correlated Errors in Large Language Models,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2505.08894v1,ArXiv: WaLLM -- Insights from an LLM-Powered Chatbot deployment via WhatsApp,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2411.12901v1,ArXiv: Signformer is all you need: Towards Edge AI for Sign Language,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2409.03309v1,ArXiv: Innovation in Education: Developing and Assessing Gamification in the University,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://arxiv.org/abs/2408.08584v1,ArXiv: S-RAF: A Simulation-Based Robustness Assessment Framework for Responsible Autono,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://openreview.net/search?term=education+leaderboard&venue=ICLR.cc/2024,OpenReview: ICLR.cc/2024 Education Leaderboards,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
https://openreview.net/search?term=education+leaderboard&venue=NeurIPS.cc/2024,OpenReview: NeurIPS.cc/2024 Education Leaderboards,Leaderboard,2026-09-08,Removed during manual review - not a K-12 AI resource
